Case ID,Activity,Resource,Complete Timestamp,Variant index,ApplicationType,LoanGoal,label,Action,EventOrigin,FirstWithdrawalAmount,NumberOfTerms,OfferedAmount,duration,event_nr
1002747267,A_Create_Application,User_1,10-10-16 18:27,12,New credit,Home improvement,TRUE,Created,Application,15000,48,15000,0,1
1002747267,A_Submitted,User_1,10-10-16 18:27,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,1.47E-07,2
1002747267,A_Concept,User_1,10-10-16 18:28,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,7.60E-06,3
1002747267,A_Accepted,other,11-10-16 21:55,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,0.019063225,4
1002747267,O_Create_Offer,other,11-10-16 21:58,12,New credit,Home improvement,TRUE,Created,Offer,15000,48,15000,3.23E-05,5
1002747267,O_Created,other,11-10-16 21:58,12,New credit,Home improvement,TRUE,statechange,Offer,15000,48,15000,1.25E-07,6
1002747267,O_Sent_(mail_and_online),other,11-10-16 22:01,12,New credit,Home improvement,TRUE,statechange,Offer,15000,48,15000,3.67E-05,7
1002747267,W_Complete_application,other,11-10-16 22:01,12,New credit,Home improvement,TRUE,Deleted,Workflow,15000,48,15000,2.31E-09,8
1002747267,A_Complete,other,11-10-16 22:01,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,3.86E-10,9
1002747267,A_Validating,User_123,14-10-16 21:55,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,0.049927621,10
1002747267,O_Returned,User_123,14-10-16 21:55,12,New credit,Home improvement,TRUE,statechange,Offer,15000,48,15000,1.72E-06,11
1002747267,A_Denied,other,18-10-16 0:20,12,New credit,Home improvement,TRUE,statechange,Application,15000,48,15000,0.051682131,12
1002747267,O_Refused,other,18-10-16 0:20,12,New credit,Home improvement,TRUE,statechange,Offer,15000,48,15000,5.59E-09,13
1002747267,W_Validate_application,other,18-10-16 0:20,12,New credit,Home improvement,TRUE,Deleted,Workflow,15000,48,15000,1.54E-09,14
1009850069,A_Create_Application,User_1,11-10-16 20:37,26,New credit,Existing loan takeover,FALSE,Created,Application,3500,127,20000,0,1
1009850069,A_Submitted,User_1,11-10-16 20:37,26,New credit,Existing loan takeover,FALSE,statechange,Application,3500,127,20000,1.44E-07,2
1009850069,A_Concept,User_1,11-10-16 20:38,26,New credit,Existing loan takeover,FALSE,statechange,Application,3500,127,20000,8.26E-06,3
1009850069,A_Accepted,other,13-10-16 18:14,26,New credit,Existing loan takeover,FALSE,statechange,Application,3500,127,20000,0.031666015,4
1009850069,O_Create_Offer,other,13-10-16 18:15,26,New credit,Existing loan takeover,FALSE,Created,Offer,3500,127,20000,1.65E-05,5
1009850069,O_Created,other,13-10-16 18:15,26,New credit,Existing loan takeover,FALSE,statechange,Offer,3500,127,20000,1.26E-07,6
1009850069,O_Sent_(mail_and_online),other,13-10-16 18:16,26,New credit,Existing loan takeover,FALSE,statechange,Offer,3500,127,20000,9.26E-06,7
1009850069,W_Complete_application,other,13-10-16 18:16,26,New credit,Existing loan takeover,FALSE,Deleted,Workflow,3500,127,20000,4.05E-09,8
1009850069,A_Complete,other,13-10-16 18:16,26,New credit,Existing loan takeover,FALSE,statechange,Application,3500,127,20000,3.86E-10,9
1009850069,O_Create_Offer,other,17-10-16 20:48,26,New credit,Existing loan takeover,FALSE,Created,Offer,4182.71,120,20000,0.068420613,10
1009850069,O_Created,other,17-10-16 20:48,26,New credit,Existing loan takeover,FALSE,statechange,Offer,4182.71,120,20000,9.51E-08,11
1009850069,O_Sent_(mail_and_online),other,17-10-16 20:48,26,New credit,Existing loan takeover,FALSE,statechange,Offer,4182.71,120,20000,1.97E-06,12
1009850069,A_Validating,User_123,21-10-16 21:43,26,New credit,Existing loan takeover,FALSE,statechange,Application,4182.71,120,20000,1.55E-07,13
1009850069,O_Returned,User_123,21-10-16 21:44,26,New credit,Existing loan takeover,FALSE,statechange,Offer,4182.71,120,20000,4.77E-06,14
1009850069,O_Accepted,other,24-10-16 20:01,26,New credit,Existing loan takeover,FALSE,statechange,Offer,4182.71,120,20000,0.04880788,15
1009850069,A_Pending,other,24-10-16 20:01,26,New credit,Existing loan takeover,FALSE,statechange,Application,4182.71,120,20000,5.79E-10,16
1009850069,O_Cancelled,other,24-10-16 20:01,26,New credit,Existing loan takeover,FALSE,statechange,Offer,4182.71,120,20000,2.89E-09,17
1010390571,A_Create_Application,User_1,09-12-16 2:33,12,New credit,Car,TRUE,Created,Application,5000,60,5000,0,1
1010390571,A_Submitted,User_1,09-12-16 2:33,12,New credit,Car,TRUE,statechange,Application,5000,60,5000,2.08E-07,2
1010390571,A_Concept,User_1,09-12-16 2:34,12,New credit,Car,TRUE,statechange,Application,5000,60,5000,9.31E-06,3
1010390571,A_Accepted,other,10-12-16 20:06,12,New credit,Car,TRUE,statechange,Application,5000,60,5000,0.028838528,4
1010390571,O_Create_Offer,other,10-12-16 20:08,12,New credit,Car,TRUE,Created,Offer,5000,60,5000,2.56E-05,5
1010390571,O_Created,other,10-12-16 20:08,12,New credit,Car,TRUE,statechange,Offer,5000,60,5000,9.47E-08,6
1010390571,O_Sent_(mail_and_online),User_49,12-12-16 22:56,12,New credit,Car,TRUE,statechange,Offer,5000,60,5000,0.035270979,7
