Case ID,predicted-completion
1002747267,2016-10-18 00:20
1003291296,2016-12-13 17:00
1009850069,2016-10-24 20:01
1010390571,2016-12-17 01:05
1012862839,2016-10-26 23:51
1016792765,2016-11-28 17:00
1017644369,2016-12-22 00:56
1018276550,2016-11-07 17:00
1019849833,2016-12-02 23:26
102041449,2016-12-14 19:45
1022084723,2016-11-09 01:03
1023366085,2016-12-06 20:26
1023606733,2016-12-05 17:00
1024774116,2016-12-17 17:00
1025457860,2016-12-12 17:00
1025696634,2016-12-02 19:00
1026777184,2016-11-20 17:00
1029674102,2016-11-17 17:00
1031467191,2016-12-12 17:00
1034123285,2016-12-07 21:14
1036492833,2016-12-01 04:18
1038302868,2016-11-14 17:00
104045138,2016-10-11 17:40
104317572,2016-12-16 17:00
1043190619,2016-12-01 23:03
1043782904,2016-10-21 02:38
104406636,2016-11-11 17:00
1047194763,2016-12-09 21:51
104922918,2016-11-24 17:00
1049772483,2016-12-15 17:00
1053489256,2016-12-16 17:00
105434976,2016-11-24 17:00
1056684759,2016-11-15 23:11
1065401414,2016-11-04 17:00
1068144226,2016-12-15 01:54
1069486579,2016-11-15 17:00
1069511528,2016-11-19 17:00
107048111,2016-11-13 17:00
1072302976,2016-11-26 17:00
1076959874,2016-12-08 17:00
1077139293,2016-11-11 17:00
1077448995,2016-10-08 21:18
1077802585,2016-11-12 20:58
1079472664,2016-11-16 19:49
1079589,2016-11-15 17:12
107990461,2016-10-21 00:55
1083885618,2016-11-08 17:00
1084469664,2016-12-20 17:00
1085916302,2016-11-11 17:00
1087895834,2016-11-10 17:00
1092918410,2016-11-15 19:08
1094370739,2016-10-26 18:51
1095638977,2016-11-30 20:53
109718783,2016-11-24 17:00
1098309211,2016-10-18 00:33
1098498254,2016-12-06 17:00
1099430757,2016-11-03 00:16
1099493178,2016-11-07 17:00
1099663893,2016-11-07 21:41
1099777932,2016-12-11 17:00
109999371,2016-12-17 05:04
1102148836,2016-11-12 17:00
1102289179,2016-11-28 17:00
1102768033,2016-11-26 18:59
1103698005,2016-12-01 00:34
1104110439,2016-11-10 17:00
1104349279,2016-11-11 17:00
1104697616,2016-11-08 21:34
1107169322,2016-12-02 04:42
1107513596,2016-11-21 17:00
1109500523,2016-11-09 20:16
1109722425,2016-11-21 17:00
